contig	length	gc	cov	kingdom	phylum	class	order	family	genus	species	taxid	single_copy_PFAMs	num_single_copies	bh_tsne_x	bh_tsne_y	cluster	ML_expanded_clustering
NODE_13_length_533917_cov_222.896	533917	35.4866018501	222.896	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Gabonia	Gabonia massiliensis	1686296	PF00154.16,PF00113.17,PF00958.17,PF02768.10,PF10458.4,PF01782.13,PF00886.14,PF00712.14,PF03952.11,PF06689.8,PF00121.13,PF02767.11	12	-0.20775407137926488	-11.425874556402428	DBSCAN_round1_4	DBSCAN_round1_4
NODE_14_length_480305_cov_222.789	480305	37.7666274555	222.789	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Gabonia	Gabonia massiliensis	1686296	PF03602.10,PF01765.14,PF00830.14,PF03484.10,PF00763.18,PF03147.9,PF02132.10,PF02882.14,PF01025.14,PF02978.14,PF01195.14	11	0.5417785622752118	-11.791731923355927	DBSCAN_round1_4	DBSCAN_round1_4
NODE_15_length_459631_cov_223.998	459631	58.2719616388	223.998	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	Aeromonas veronii	654	PF01509.13,PF01765.14,PF00889.14,PF08529.6,PF03652.10,PF11987.3,PF00312.17,PF03840.9,PF00121.13,PF03726.9,PF00627.26,PF02772.11,PF04760.10,PF00318.15,PF02033.13,PF02773.11	16	14.833973382404482	-0.6159217976613404	DBSCAN_round1_5	DBSCAN_round1_5
NODE_16_length_457986_cov_223.76	457986	33.249051281	223.76	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Francisellaceae	Francisella	Francisella sp. TX077308	573569	PF00410.14,PF00861.17,PF00164.20,PF06574.7,PF00416.17,PF00154.16,PF02938.9,PF00252.13,PF01765.14,PF00237.14,PF00889.14,PF02768.10,PF00830.14,PF02873.11,PF00763.18,PF02367.12,PF00276.15,PF00338.17,PF06418.9,PF03947.13,PF00181.18,PF10458.4,PF03772.11,PF01196.14,PF00281.14,PF00673.16,PF00831.18,PF00712.14,PF01649.13,PF00347.18,PF01000.21,PF06421.7,PF01193.19,PF01252.13,PF00366.15,PF02882.14,PF01687.12,PF00297.17,PF00411.14,PF00238.14,PF00828.14,PF00627.26,PF02527.10,PF00344.15,PF00203.16,PF02767.11,PF00318.15,PF00825.13,PF00177.16,PF00573.17,PF00189.15,PF03118.10,PF00163.14,PF03719.10,PF00333.15	55	-22.175829231666192	2.8108014415890747	DBSCAN_round3_1	DBSCAN_round3_1
NODE_17_length_457780_cov_225.875	457780	58.997990301	225.875	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Phaeobacter	Phaeobacter inhibens	221822	PF00410.14,PF00861.17,PF00164.20,PF00416.17,PF00466.15,PF00298.14,PF00252.13,PF00237.14,PF04998.12,PF06071.8,PF04983.13,PF04565.11,PF00276.15,PF00338.17,PF02130.12,PF01746.16,PF04560.15,PF04997.7,PF00035.20,PF04563.10,PF03947.13,PF00181.18,PF01196.14,PF00281.14,PF00673.16,PF00831.18,PF01782.13,PF00886.14,PF00687.16,PF00347.18,PF05000.12,PF01245.15,PF01000.21,PF01193.19,PF00562.23,PF00366.15,PF00297.17,PF02224.13,PF10385.4,PF00411.14,PF00238.14,PF00828.14,PF03946.9,PF08459.6,PF02772.11,PF00344.15,PF00203.16,PF00825.13,PF00177.16,PF02978.14,PF00584.15,PF00623.15,PF00573.17,PF00189.15,PF01195.14,PF03118.10,PF00542.14,PF03719.10,PF00333.15,PF04561.9,PF02773.11	61	17.468375315862435	2.723837359996147	DBSCAN_round1_1	DBSCAN_round1_1
NODE_18_length_457640_cov_224.09	457640	68.1872213967	224.09	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Nocardiaceae	Nocardia	Nocardia brasiliensis	37326	PF01252.13,PF01795.14	2	6.906604833608887	18.029793918176892	DBSCAN_round1_0	DBSCAN_round1_0
NODE_19_length_451442_cov_224.264	451442	58.448925886400005	224.264	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	Aeromonas veronii	654	PF00958.17,PF00763.18,PF03772.11,PF02403.17,PF02882.14,PF02224.13,PF08459.6,PF01176.14	8	15.074962590416089	-0.5515213505611987	DBSCAN_round1_5	DBSCAN_round1_5
NODE_20_length_436718_cov_222.09	436718	55.4575263671	222.09	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Akkermansiaceae	Akkermansia	Akkermansia muciniphila	239935	PF03602.10,PF01783.18,PF00164.20,PF00416.17,PF02938.9,PF00252.13,PF00237.14,PF06071.8,PF01016.14,PF02367.12,PF00276.15,PF00338.17,PF02130.12,PF03947.13,PF00181.18,PF10458.4,PF00312.17,PF02410.10,PF00831.18,PF00886.14,PF00121.13,PF00366.15,PF00297.17,PF01416.15,PF00411.14,PF00238.14,PF03726.9,PF00203.16,PF00177.16,PF00573.17,PF00189.15,PF00163.14,PF00829.16	33	34.11629215619637	6.9471935931843065	DBSCAN_round1_6	DBSCAN_round1_6
NODE_21_length_435208_cov_224.27	435208	64.883917575	224.27	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Nocardiaceae	Nocardia	Nocardia brasiliensis	37326	PF00298.14	1	8.015866900680267	17.282916186698387	DBSCAN_round1_0	DBSCAN_round1_0
NODE_22_length_427389_cov_223.136	427389	39.0873419765	223.136	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus faecalis	1351	PF12344.3,PF03602.10,PF01018.17,PF01121.15,PF01409.15,PF03484.10,PF03772.11,PF03147.9,PF05698.9,PF01649.13,PF06689.8,PF06421.7,PF05697.8,PF01252.13,PF01025.14,PF00627.26,PF02912.13	17	-8.184626584200426	-26.808811424377602	DBSCAN_round1_7	DBSCAN_round1_7
NODE_23_length_426686_cov_225.997	426686	68.2431577319	225.997	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Nocardiaceae	Nocardia	Nocardia brasiliensis	37326	PF00410.14,PF00861.17,PF00416.17,PF00958.17,PF02367.12,PF01196.14,PF00281.14,PF00673.16,PF03485.11,PF00347.18,PF00380.14,PF01000.21,PF01193.19,PF00750.14,PF00572.13,PF01416.15,PF00411.14,PF00238.14,PF00828.14,PF00344.15,PF01176.14,PF03118.10,PF00163.14,PF03719.10,PF00333.15	25	6.470541551370137	18.060923105239326	DBSCAN_round1_0	DBSCAN_round1_0
NODE_24_length_372190_cov_224.35	372190	70.1663129047	224.35	Bacteria	Deinococcus-Thermus	Deinococci	Deinococcales	Deinococcaceae	Deinococcus	Deinococcus maricopensis	309887	PF00410.14,PF00861.17,PF00416.17,PF00154.16,PF00252.13,PF01765.14,PF00237.14,PF00889.14,PF01121.15,PF06071.8,PF00276.15,PF00338.17,PF06418.9,PF03947.13,PF00181.18,PF01196.14,PF00281.14,PF00673.16,PF00831.18,PF00347.18,PF01000.21,PF01193.19,PF00366.15,PF00297.17,PF01632.14,PF00453.13,PF00411.14,PF00238.14,PF00828.14,PF00627.26,PF00344.15,PF00203.16,PF00318.15,PF00573.17,PF00189.15,PF01195.14,PF01176.14,PF03118.10,PF00163.14,PF05198.11,PF00707.17,PF03719.10,PF00333.15	43	8.564159373387243	9.840102479802995	DBSCAN_round3_0	DBSCAN_round3_0
NODE_25_length_363542_cov_225.568	363542	67.5985168151	225.568	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Nocardiaceae	Nocardia	Nocardia brasiliensis	37326		0	7.436510376770607	18.24922024489025	DBSCAN_round1_0	DBSCAN_round1_0
NODE_26_length_356957_cov_224.046	356957	68.44409830880001	224.046	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Nocardiaceae	Nocardia	Nocardia brasiliensis	37326		0	6.966126446352291	18.555229325840067	DBSCAN_round1_0	DBSCAN_round1_0
NODE_27_length_340090_cov_224.315	340090	59.4510276691	224.315	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Phaeobacter	Phaeobacter inhibens	221822	PF00121.13,PF02767.11,PF05198.11,PF00707.17	4	17.42341811985835	2.7831216192779	DBSCAN_round1_1	DBSCAN_round1_1
NODE_28_length_331107_cov_224.832	331107	65.21940037510001	224.832	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	Corynebacterium ihumii	1232427	PF06574.7,PF00154.16,PF01509.13,PF01765.14,PF00889.14,PF01715.12,PF01330.16,PF01746.16,PF00035.20,PF11987.3,PF00312.17,PF07499.8,PF01782.13,PF00886.14,PF01245.15,PF01252.13,PF01687.12,PF03726.9,PF00627.26,PF04760.10,PF00318.15,PF05491.8,PF02978.14,PF02033.13,PF01795.14	25	12.381058621069338	11.809108766796243	DBSCAN_round3_3	DBSCAN_round3_3
NODE_29_length_327293_cov_225.047	327293	59.7000241374	225.047	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	Aeromonas veronii	654	PF00162.14,PF06071.8,PF02130.12,PF00035.20,PF02410.10,PF06421.7,PF01195.14	7	14.931414000763281	0.13218659858112405	DBSCAN_round1_5	DBSCAN_round1_5
NODE_30_length_320616_cov_227.122	320616	65.3844474387	227.122	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	Corynebacterium ihumii	1232427	PF00410.14,PF00861.17,PF00164.20,PF00416.17,PF00466.15,PF00298.14,PF00252.13,PF00237.14,PF04998.12,PF00958.17,PF04983.13,PF04565.11,PF00763.18,PF02367.12,PF01668.13,PF00276.15,PF00338.17,PF04560.15,PF04997.7,PF04563.10,PF03947.13,PF00181.18,PF01196.14,PF00281.14,PF00673.16,PF00831.18,PF00687.16,PF00347.18,PF05000.12,PF00380.14,PF01000.21,PF01193.19,PF00562.23,PF00366.15,PF02882.14,PF00297.17,PF00572.13,PF01416.15,PF10385.4,PF00411.14,PF00238.14,PF00828.14,PF03946.9,PF00344.15,PF00203.16,PF00177.16,PF00584.15,PF00623.15,PF00573.17,PF00189.15,PF01176.14,PF03118.10,PF00163.14,PF00542.14,PF03719.10,PF00333.15,PF04561.9	57	12.313767375384705	11.702747237900702	DBSCAN_round3_3	DBSCAN_round3_3
NODE_31_length_318595_cov_223.603	318595	59.51286115600001	223.603	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	Aeromonas veronii	654	PF00113.17,PF01330.16,PF06418.9,PF07499.8,PF03952.11,PF05491.8	6	14.792233937544674	-0.31757114489641197	DBSCAN_round1_5	DBSCAN_round1_5
NODE_32_length_315756_cov_224.26	315756	70.67419146430001	224.26	Bacteria	Deinococcus-Thermus	Deinococci	Deinococcales	Deinococcaceae	Deinococcus	Deinococcus maricopensis	309887	PF03602.10,PF08275.6,PF03726.9,PF00825.13,PF05491.8,PF02033.13	6	8.225746503957525	9.703209273688595	DBSCAN_round3_0	DBSCAN_round3_0
NODE_33_length_312266_cov_223.829	312266	68.0618447093	223.829	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Nocardiaceae	Nocardia	Nocardia brasiliensis	37326		0	7.365984281039089	18.252534221418927	DBSCAN_round1_0	DBSCAN_round1_0
NODE_34_length_307722_cov_223.803	307722	70.3066404092	223.803	Bacteria	Deinococcus-Thermus	Deinococci	Deinococcales	Deinococcaceae	Deinococcus	Deinococcus maricopensis	309887		0	8.338441392243228	9.765762063301368	DBSCAN_round3_0	DBSCAN_round3_0
NODE_35_length_289881_cov_223.799	289881	58.4505365995	223.799	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Phaeobacter	Phaeobacter inhibens	221822	PF01121.15,PF08529.6,PF02367.12,PF11987.3,PF01649.13,PF01025.14,PF02527.10,PF04760.10	8	17.593184045726254	2.7585986820119333	DBSCAN_round1_1	DBSCAN_round1_1
NODE_36_length_281779_cov_223.764	281779	70.12445923930001	223.764	Bacteria	Deinococcus-Thermus	Deinococci	Deinococcales	Deinococcaceae	Deinococcus	Deinococcus maricopensis	309887	PF01330.16,PF07499.8	2	8.661719513778403	9.875650297253436	DBSCAN_round3_0	DBSCAN_round3_0
NODE_37_length_281124_cov_225.682	281124	65.66212774430001	225.682	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	Corynebacterium ihumii	1232427	PF06071.8,PF03461.10,PF03485.11,PF00750.14,PF01195.14,PF01195.14	6	12.37198265089213	11.866506568483032	DBSCAN_round3_3	DBSCAN_round3_3
NODE_38_length_280079_cov_224.186	280079	28.9104145616	224.186	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Caloranaerobacter	Caloranaerobacter sp. TR13	1302151	PF03602.10,PF10458.4,PF05698.9,PF06689.8,PF05697.8	5	-23.170617270040204	5.675829034861894	DBSCAN_round3_2	DBSCAN_round3_2
NODE_39_length_279050_cov_223.61	279050	35.3427701129	223.61	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Gabonia	Gabonia massiliensis	1686296	PF12344.3,PF01281.14,PF00162.14,PF02938.9,PF01715.12,PF02873.11,PF01668.13,PF01746.16,PF03948.9,PF06421.7,PF01084.15,PF01250.12	12	-0.03392170592801528	-11.464446736611887	DBSCAN_round1_4	DBSCAN_round1_4
NODE_40_length_269259_cov_224.279	269259	58.5525460616	224.279	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	Aeromonas veronii	654	PF01025.14	1	15.141816612413896	-0.8389539891008155	DBSCAN_round1_5	DBSCAN_round1_5
NODE_41_length_259699_cov_224.012	259699	30.6909152519	224.012	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Caloranaerobacter	Caloranaerobacter sp. TR13	1302151	PF06418.9,PF03485.11,PF02132.10,PF02403.17	4	-22.793579735516523	5.611399583575623	DBSCAN_round3_2	DBSCAN_round3_2
NODE_42_length_245814_cov_223.764	245814	57.6871130204	223.764	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	Aeromonas veronii	654	PF03602.10,PF03602.10,PF01783.18,PF01409.15,PF03484.10,PF03147.9,PF01632.14,PF00453.13,PF02912.13,PF05198.11,PF00707.17	11	15.097660646581136	-0.6532246729797516	DBSCAN_round1_5	DBSCAN_round1_5
NODE_43_length_245367_cov_223.921	245367	39.1059107378	223.921	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus bataviensis	220685		0	-1.7895435268222342	-18.525615113867428	DBSCAN_round2_3	DBSCAN_round2_3
NODE_44_length_237090_cov_224.885	237090	68.3128769666	224.885	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Nocardiaceae	Nocardia	Nocardia brasiliensis	37326	PF01330.16,PF07499.8,PF05491.8	3	6.735515099747406	18.352798744278072	DBSCAN_round1_0	DBSCAN_round1_0
NODE_45_length_236726_cov_224.26	236726	68.5953380702	224.26	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Nocardiaceae	Nocardia	Nocardia brasiliensis	37326	PF01409.15,PF03484.10,PF06418.9,PF03147.9,PF02224.13,PF02912.13	6	6.73147166033752	18.30515122929456	DBSCAN_round1_0	DBSCAN_round1_0
NODE_46_length_234447_cov_223.916	234447	39.421702986199996	223.916	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus bataviensis	220685	PF02224.13	1	-0.6461293463522162	-18.183426627309128	DBSCAN_round2_3	DBSCAN_round2_3
NODE_47_length_231993_cov_230.018	231993	58.769445629799996	230.018	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	Aeromonas veronii	654	PF02938.9	1	14.970561619826894	-0.4980127528702986	DBSCAN_round1_5	DBSCAN_round1_5
NODE_48_length_229132_cov_224.892	229132	71.7433619049	224.892	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Nocardiaceae	Nocardia	Nocardia thailandica	257275	PF02873.11	1	-3.3014323048860312	21.202421089656635	DBSCAN_round1_9	DBSCAN_round1_9
NODE_49_length_224269_cov_223.325	224269	41.8006947015	223.325	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Gabonia	Gabonia massiliensis	1686296	PF01409.15,PF05697.8,PF00453.13,PF02912.13,PF05198.11,PF00707.17	6	1.8344694952795368	-12.766886707937891	DBSCAN_round1_4	DBSCAN_round1_4
NODE_50_length_219083_cov_222.891	219083	31.477567862399997	222.891	Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium	Eubacterium sp. CAG:274	1262888	PF01281.14,PF00889.14,PF01409.15,PF01715.12,PF03484.10,PF03652.10,PF02130.12,PF03147.9,PF03948.9,PF02224.13,PF08275.6,PF00627.26,PF00318.15,PF02912.13	14	-23.300123956875787	12.381942588603664	DBSCAN_round1_10	DBSCAN_round1_10
NODE_51_length_210346_cov_223.865	210346	30.8715164538	223.865	Bacteria	Cyanobacteria	unclassified	Synechococcales	Prochloraceae	Prochlorococcus	Prochlorococcus marinus	1219	PF00889.14,PF03652.10,PF00627.26,PF00318.15	4	-20.81740850739749	3.750259308325916	DBSCAN_round3_4	DBSCAN_round3_4
NODE_52_length_209828_cov_223.672	209828	61.043330728	223.672	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Phaeobacter	Phaeobacter inhibens	221822	PF01330.16,PF00763.18,PF07499.8,PF02882.14,PF01416.15,PF05491.8	6	17.197268946153233	3.2093949196937888	DBSCAN_round1_1	DBSCAN_round1_1
NODE_53_length_209805_cov_225.011	209805	58.995257501000005	225.011	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	Aeromonas veronii	654	PF06574.7,PF01281.14,PF01746.16,PF01782.13,PF00886.14,PF01649.13,PF03948.9,PF01245.15,PF01084.15,PF01252.13,PF01687.12,PF01250.12,PF08275.6,PF02978.14	14	14.779992102748473	-0.23484354136015664	DBSCAN_round1_5	DBSCAN_round1_5
NODE_54_length_207642_cov_224.315	207642	58.86574007189999	224.315	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	Aeromonas veronii	654	PF01668.13	1	15.188051704049261	-0.17257319458227874	DBSCAN_round1_5	DBSCAN_round1_5
NODE_55_length_204393_cov_224.005	204393	41.0038504254	224.005	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus bataviensis	220685		0	0.6392288480676042	-18.93307022160243	DBSCAN_round2_3	DBSCAN_round2_3
NODE_56_length_204156_cov_221.641	204156	35.10452791	221.641	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Tannerellaceae	Tannerella	Tannerella sp. CAG:118	1262978	PF02367.12,PF00312.17,PF01416.15,PF02224.13	4	-0.34867944781816823	-11.35165864512697	DBSCAN_round1_4	DBSCAN_round1_4
NODE_57_length_203554_cov_224.112	203554	39.610128025	224.112	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus faecalis	1351	PF01746.16,PF01782.13,PF00886.14,PF01245.15,PF02224.13,PF08275.6	6	-8.261283754016505	-27.26687892369258	DBSCAN_round1_7	DBSCAN_round1_7
NODE_58_length_202143_cov_224.131	202143	67.756489218	224.131	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Nocardiaceae	Nocardia	Nocardia brasiliensis	37326	PF01281.14,PF03948.9,PF01084.15,PF01250.12,PF02527.10,PF00825.13	6	6.824210364806455	17.793740775830916	DBSCAN_round1_0	DBSCAN_round1_0
